id,gene,refseq,chrom,start,end
guaA_mRNA,PMM0037,33860597,,,
guaA_pro,PMM0037,33860597,,,
PMED4_00371_mRNA,PMM0038,33860598,,,
PMED4_00381_mRNA,PMM0039,33860599,,,
PMED4_00401_mRNA,PMM0040,33860600,,,
PMED4_00411_mRNA,PMM0041,33860601,,,
PMED4_00421_mRNA,PMM0042,33860602,,,
PMED4_00431_mRNA,PMM0043,33860603,,,
alaS_mRNA,PMM0044,33860604,,,
alaS_pro,PMM0044,33860604,,,
PMED4_00451_mRNA,PMM0045,33860605,,,
ndk_mRNA,PMM0046,33860606,,,
ndk_pro,PMM0046,33860606,,,
PMED4_00471_mRNA,PMM0047,33860607,,,
gatB_mRNA,PMM0048,33860608,,,
gatB_pro,PMM0048,33860608,,,
PMED4_00491_mRNA,PMM0049,33860609,,,
PMED4_00501_mRNA,PMM0050,33860610,,,
PMED4_00511_mRNA,PMM0051,33860611,,,
PMED4_00521_mRNA,PMM0052,33860612,,,
PMED4_00541_mRNA,PMM0053,33860613,,,
PMED4_00551_mRNA,PMM0054,33860614,,,
PMED4_00551_pro,PMM0054,33860614,,,
PMED4_00561_mRNA,PMM0055,33860615,,,
PMED4_00581_mRNA,PMM0056,33860616,,,
PMED4_00591_mRNA,PMM0057,33860617,,,
PMED4_00601_mRNA,PMM0058,33860618,,,
PMED4_00601_pro,PMM0058,33860618,,,
PMED4_00611_mRNA,PMM0059,33860619,,,
accC_mRNA,PMM0060,33860620,,,
accC_pro,PMM0060,33860620,,,
PMED4_00631_mRNA,PMM0061,33860621,,,
PMED4_00641_mRNA,PMM0062,33860622,,,
PMED4_00651_mRNA,PMM0063,33860623,,,
PMED4_00651_pro,PMM0063,33860623,,,
PMED4_00661_mRNA,PMM0064,33860624,,,
PMED4_00671_mRNA,PMM0065,33860625,,,
PMED4_00671_pro,PMM0065,33860625,,,
PMED4_00681_mRNA,PMM0066,33860626,,,
PMED4_00691_mRNA,PMM0067,33860627,,,
def_mRNA,PMM0068,33860628,,,
def_pro,PMM0068,33860628,,,
PMED4_00711_mRNA,PMM0069,33860629,,,
PMED4_00721_mRNA,PMM0070,33860630,,,
PMED4_00731_mRNA,PMM0071,33860631,,,
sufC_mRNA,PMM0072,33860632,,,
sufC_pro,PMM0072,33860632,,,
PMED4_00751_mRNA,PMM0073,33860633,,,
PMED4_00761_mRNA,PMM0074,33860634,,,
PMED4_00771_mRNA,PMM0075,33860635,,,
PMED4_00771_pro,PMM0075,33860635,,,
pgm_mRNA,PMM0076,33860636,,,
pgm_pro,PMM0076,33860636,,,
PMED4_00801_mRNA,PMM0077,33860637,,,
PMED4_00811_mRNA,PMM0078,33860638,,,
bcp_mRNA,PMM0079,33860639,,,
bcp_pro,PMM0079,33860639,,,
PMED4_00831_mRNA,PMM0080,33860640,,,
cysH_mRNA,PMM0081,33860641,,,
cysH_pro,PMM0081,33860641,,,
PMED4_00851_mRNA,PMM0082,33860642,,,
PMED4_00861_mRNA,PMM0083,33860643,,,
PMED4_00871_mRNA,PMM0084,33860644,,,
PMED4_00881_mRNA,PMM0085,33860645,,,
PMED4_00881_pro,PMM0085,33860645,,,
PMED4_00891_mRNA,PMM0086,33860646,,,
PMED4_00901_mRNA,PMM0087,33860647,,,
PMED4_00911_mRNA,PMM0088,33860648,,,
PMED4_00931_mRNA,PMM0089,33860649,,,
PMED4_00951_mRNA,PMM0090,33860650,,,
PMED4_00951_pro,PMM0090,33860650,,,
PMED4_00961_mRNA,PMM0091,33860651,,,
PMED4_00971_mRNA,PMM0092,33860652,,,
PMED4_00981_mRNA,PMM0093,33860653,,,
PMED4_00991_mRNA,PMM0094,33860654,,,
PMED4_01001_mRNA,PMM0095,33860655,,,
PMED4_01011_mRNA,PMM0096,33860656,,,
PMED4_01011_pro,PMM0096,33860656,,,
PMED4_01021_mRNA,PMM0097,33860657,,,
PMED4_01021_pro,PMM0097,33860657,,,
PMED4_01031_mRNA,PMM0098,33860658,,,
PMED4_01041_mRNA,PMM0099,33860659,,,
PMED4_01051_mRNA,PMM0100,33860660,,,
PMED4_01061_mRNA,PMM0101,33860661,,,
PMED4_01061_pro,PMM0101,33860661,,,
PMED4_01071_mRNA,PMM0102,33860662,,,
PMED4_01091_mRNA,PMM0103,33860663,,,
PMED4_01101_mRNA,PMM0104,33860664,,,
PMED4_01101_pro,PMM0104,33860664,,,
PMED4_01111_mRNA,PMM0105,33860665,,,
PMED4_01121_mRNA,PMM0106,33860666,,,
PMED4_01131_mRNA,PMM0107,33860667,,,
PMED4_01141_mRNA,PMM0108,33860668,,,
PMED4_01151_mRNA,PMM0109,33860669,,,
PMED4_01161_mRNA,PMM0110,33860670,,,
PMED4_01161_pro,PMM0110,33860670,,,
PMED4_01171_mRNA,PMM0111,33860671,,,
PMED4_01181_mRNA,PMM0112,33860672,,,
PMED4_01191_mRNA,PMM0113,33860673,,,
PMED4_01201_mRNA,PMM0114,33860674,,,
crtQ_mRNA,PMM0115,33860675,,,
crtQ_pro,PMM0115,33860675,,,
PMED4_01221_mRNA,PMM0116,33860676,,,
PMED4_01231_mRNA,PMM0117,33860677,,,
PMED4_01241_mRNA,PMM0118,33860678,,,
PMED4_01251_mRNA,PMM0119,33860679,,,
PMED4_01261_mRNA,PMM0120,33860680,,,
PMED4_01271_mRNA,PMM0121,33860681,,,
PMED4_01281_mRNA,PMM0122,33860682,,,
cysK2_mRNA,PMM0123,33860683,,,
cysK2_pro,PMM0123,33860683,,,
PMED4_01301_mRNA,PMM0124,33860684,,,
PMED4_01301_pro,PMM0124,33860684,,,
PMED4_01311_mRNA,PMM0125,33860685,,,
PMED4_01321_mRNA,PMM0126,33860686,,,
PMED4_01331_mRNA,PMM0127,33860687,,,
rpaA_mRNA,PMM0128,33860688,,,
rpaA_pro,PMM0128,33860688,,,
PMED4_01351_mRNA,PMM0129,33860689,,,
PMED4_01361_mRNA,PMM0130,33860690,,,
PMED4_01371_mRNA,PMM0131,33860691,,,
PMED4_01381_mRNA,PMM0132,33860692,,,
PMED4_01381_pro,PMM0132,33860692,,,
PMED4_01391_mRNA,PMM0133,33860693,,,
rpaB_mRNA,PMM0134,33860694,,,
rpaB_pro,PMM0134,33860694,,,
PMED4_01411_mRNA,PMM0135,33860695,,,
PMED4_01421_mRNA,PMM0136,33860696,,,
fabD_mRNA,PMM0137,33860697,,,
fabD_pro,PMM0137,33860697,,,
PMED4_01441_mRNA,PMM0138,33860698,,,
PMED4_01451_mRNA,PMM0139,33860699,,,
PMED4_01461_mRNA,PMM0140,33860700,,,
PMED4_01471_mRNA,PMM0141,33860701,,,
PMED4_01481_mRNA,PMM0142,33860702,,,
PMED4_01481_pro,PMM0142,33860702,,,
"crtB,pys_mRNA",PMM0143,33860703,,,
"crtB,pys_pro",PMM0143,33860703,,,
pds_mRNA,PMM0144,33860704,,,
pds_pro,PMM0144,33860704,,,
PMED4_01511_mRNA,PMM0145,33860705,,,
PMED4_01511_pro,PMM0145,33860705,,,
PMED4_01521_mRNA,PMM0146,33860706,,,
rbcR_mRNA,PMM0147,33860707,,,
rbcR_pro,PMM0147,33860707,,,
PMED4_01541_mRNA,PMM0148,33860708,,,
PMED4_01551_mRNA,PMM0149,33860709,,,
ndhD_mRNA,PMM0150,33860710,,,
ndhD_pro,PMM0150,33860710,,,
PMED4_01571_mRNA,PMM0151,33860711,,,
PMED4_01581_mRNA,PMM0152,33860712,,,
metF_mRNA,PMM0153,33860713,,,
metF_pro,PMM0153,33860713,,,
csgD_mRNA,PMM0154,33860714,,,
csgD_pro,PMM0154,33860714,,,
PMED4_01611_mRNA,PMM0155,33860715,,,
PMED4_01621_mRNA,PMM0156,33860716,,,
PMED4_01631_mRNA,PMM0157,33860717,,,
PMED4_01641_mRNA,PMM0158,33860718,,,
ndhI_mRNA,PMM0159,33860719,,,
ndhI_pro,PMM0159,33860719,,,
ndhA_mRNA,PMM0160,33860720,,,
ndhA_pro,PMM0160,33860720,,,
gltA_mRNA,PMM0161,33860721,,,
gltA_pro,PMM0161,33860721,,,
PMED4_01681_mRNA,PMM0162,33860722,,,
PMED4_01691_mRNA,PMM0163,33860723,,,
trpB_mRNA,PMM0164,33860724,,,
trpB_pro,PMM0164,33860724,,,
PMED4_01711_mRNA,PMM0165,33860725,,,
cysC_mRNA,PMM0166,33860726,,,
cysC_pro,PMM0166,33860726,,,
PMED4_01731_mRNA,PMM0167,33860727,,,
chlM_mRNA,PMM0168,33860728,,,
chlM_pro,PMM0168,33860728,,,
PMED4_01751_mRNA,PMM0169,33860729,,,
PMED4_01751_pro,PMM0169,33860729,,,
PMED4_01761_mRNA,PMM0170,33860730,,,
PMED4_01771_mRNA,PMM0171,33860731,,,
ndhH_mRNA,PMM0172,33860732,,,
ndhH_pro,PMM0172,33860732,,,
PMED4_01791_mRNA,PMM0173,33860733,,,
PMED4_01801_mRNA,PMM0174,33860734,,,
PMED4_01811_mRNA,PMM0175,33860735,,,
PMED4_01821_mRNA,PMM0176,33860736,,,
PMED4_01831_mRNA,PMM0177,33860737,,,
gshB_mRNA,PMM0178,33860738,,,
gshB_pro,PMM0178,33860738,,,
PMED4_01851_mRNA,PMM0179,33860739,,,
PMED4_01861_mRNA,PMM0180,33860740,,,
PMED4_01871_mRNA,PMM0181,33860741,,,
PMED4_01881_mRNA,PMM0182,33860742,,,
PMED4_01891_mRNA,PMM0183,33860743,,,
PMED4_01901_mRNA,PMM0184,33860744,,,
PMED4_01911_mRNA,PMM0185,33860745,,,
PMED4_01921_mRNA,PMM0186,33860746,,,
argS_mRNA,PMM0187,33860747,,,
argS_pro,PMM0187,33860747,,,
nadC_mRNA,PMM0188,33860748,,,
nadC_pro,PMM0188,33860748,,,
thdF_mRNA,PMM0189,33860749,,,
thdF_pro,PMM0189,33860749,,,
PMED4_01961_mRNA,PMM0190,33860750,,,
PMED4_01971_mRNA,PMM0191,33860751,,,
PMED4_01981_mRNA,PMM0192,33860752,,,
PMED4_01991_mRNA,PMM0193,33860753,,,
PMED4_02001_mRNA,PMM0194,33860754,,,
pgk_mRNA,PMM0195,33860755,,,
pgk_pro,PMM0195,33860755,,,
PMED4_02021_mRNA,PMM0196,33860756,,,
PMED4_02031_mRNA,PMM0197,33860757,,,
PMED4_02041_mRNA,PMM0198,33860758,,,
PMED4_02051_mRNA,PMM0199,33860759,,,
PMED4_02061_mRNA,PMM0200,33860760,,,
rplL_mRNA,PMM0201,33860761,,,
rplL_pro,PMM0201,33860761,,,
rplJ_mRNA,PMM0202,33860762,,,
rplJ_pro,PMM0202,33860762,,,
rplA_mRNA,PMM0203,33860763,,,
rplA_pro,PMM0203,33860763,,,
rplK_mRNA,PMM0204,33860764,,,
rplK_pro,PMM0204,33860764,,,
nusG_mRNA,PMM0205,33860765,,,
nusG_pro,PMM0205,33860765,,,
PMED4_02121_mRNA,PMM0206,33860766,,,
clpB2_mRNA,PMM0207,33860767,,,
clpB2_pro,PMM0207,33860767,,,
eno_mRNA,PMM0208,33860768,,,
eno_pro,PMM0208,33860768,,,
PMED4_02151_mRNA,PMM0209,33860769,,,
PMED4_02151_pro,PMM0209,33860769,,,
PMED4_02161_mRNA,PMM0210,33860770,,,
trxB_mRNA,PMM0211,33860771,,,
trxB_pro,PMM0211,33860771,,,
PMED4_02181_mRNA,PMM0212,33860772,,,
PMED4_02191_mRNA,PMM0213,33860773,,,
PMED4_02201_mRNA,PMM0214,33860774,,,
PMED4_02201_pro,PMM0214,33860774,,,
hemB_mRNA,PMM0215,33860775,,,
hemB_pro,PMM0215,33860775,,,
PMED4_02221_mRNA,PMM0216,33860776,,,
PMED4_02231_mRNA,PMM0217,33860777,,,
PMED4_02241_mRNA,PMM0218,33860778,,,
PMED4_02251_mRNA,PMM0219,33860779,,,
PMED4_02261_mRNA,PMM0221,33860780,,,
PMED4_02271_mRNA,PMM0222,33860781,,,
psbA_mRNA,PMM0223,33860782,,,
psbA_pro,PMM0223,33860782,,,
aroC_mRNA,PMM0224,33860783,,,
aroC_pro,PMM0224,33860783,,,
PMED4_02301_mRNA,PMM0225,33860784,,,
ftsH2_mRNA,PMM0226,33860785,,,
ftsH2_pro,PMM0226,33860785,,,
cysD_mRNA,PMM0227,33860786,,,
cysD_pro,PMM0227,33860786,,,
psbO_mRNA,PMM0228,33860787,,,
psbO_pro,PMM0228,33860787,,,
PMED4_02341_mRNA,PMM0229,33860788,,,
PMED4_02351_mRNA,PMM0230,33860789,,,
PMED4_02361_mRNA,PMM0231,33860790,,,
PMED4_02371_mRNA,PMM0232,33860791,,,
PMED4_02381_mRNA,PMM0233,33860792,,,
PMED4_02391_mRNA,PMM0234,33860793,,,
gatC_mRNA,PMM0235,33860794,,,
gatC_pro,PMM0235,33860794,,,
PMED4_02421_mRNA,PMM0237,33860795,,,
ileS_mRNA,PMM0238,33860796,,,
ileS_pro,PMM0238,33860796,,,
PMED4_02441_mRNA,PMM0239,33860797,,,
PMED4_02451_mRNA,PMM0240,33860798,,,
PMED4_02461_mRNA,PMM0241,33860799,,,
PMED4_02471_mRNA,PMM0242,33860800,,,
thy1_mRNA,PMM0243,33860801,,,
thy1_pro,PMM0243,33860801,,,
dcd_mRNA,PMM0244,33860802,,,
dcd_pro,PMM0244,33860802,,,
PMED4_02501_mRNA,PMM0245,33860803,,,
PMED4_02511_mRNA,PMM0246,33860804,,,
PMED4_02521_mRNA,PMM0247,33860805,,,
PMED4_02531_mRNA,PMM0248,33860806,,,
PMED4_02541_mRNA,PMM0249,33860807,,,
PMED4_02551_mRNA,PMM0250,33860808,,,
psbH_mRNA,PMM0251,33860809,,,
psbH_pro,PMM0251,33860809,,,
PMED4_02571_mRNA,PMM0252,161347555,,,
PMED4_02581_mRNA,PMM0253,33860811,,,
PMED4_02591_mRNA,PMM0254,33860812,,,
PMED4_02591_pro,PMM0254,33860812,,,
PMED4_02601_mRNA,PMM0255,33860813,,,
PMED4_02611_mRNA,PMM0256,33860814,,,
PMED4_02621_mRNA,PMM0257,33860815,,,
glyA_mRNA,PMM0258,33860816,,,
glyA_pro,PMM0258,33860816,,,
PMED4_02641_mRNA,PMM0259,33860817,,,
PMED4_02651_mRNA,PMM0260,33860818,,,
PMED4_02661_mRNA,PMM0261,33860819,,,
PMED4_02671_mRNA,PMM0262,33860820,,,
amt1_mRNA,PMM0263,33860821,,,
amt1_pro,PMM0263,33860821,,,
PMED4_02691_mRNA,PMM0264,33860822,,,
PMED4_02701_mRNA,PMM0265,33860823,,,
PMED4_02701_pro,PMM0265,33860823,,,
purH_mRNA,PMM0266,33860824,,,
purH_pro,PMM0266,33860824,,,
PMED4_02721_mRNA,PMM0267,33860825,,,
PMED4_02721_pro,PMM0267,33860825,,,
PMED4_02731_mRNA,PMM0268,33860826,,,
PMED4_02741_mRNA,PMM0269,33860827,,,
PMED4_02751_mRNA,PMM0270,33860828,,,
PMED4_02761_mRNA,PMM0271,33860829,,,
PMED4_02771_mRNA,PMM0272,33860830,,,
PMED4_02781_mRNA,PMM0273,33860831,,,
PMED4_02781_pro,PMM0273,33860831,,,
PMED4_02791_mRNA,PMM0274,33860832,,,
PMED4_02791_pro,PMM0274,33860832,,,
pyrE_mRNA,PMM0275,33860833,,,
pyrE_pro,PMM0275,33860833,,,
PMED4_02811_mRNA,PMM0276,33860834,,,
PMED4_02821_mRNA,PMM0277,33860835,,,
PMED4_02831_mRNA,PMM0278,33860836,,,
PMED4_02841_mRNA,PMM0279,33860837,,,
PMED4_02851_mRNA,PMM0280,33860838,,,
hisB_mRNA,PMM0281,33860839,,,
hisB_pro,PMM0281,33860839,,,
fabI_mRNA,PMM0282,33860840,,,
fabI_pro,PMM0282,33860840,,,
PMED4_02881_mRNA,PMM0283,33860841,,,
PMED4_02891_mRNA,PMM0284,33860842,,,
PMED4_02901_mRNA,PMM0285,33860843,,,
PMED4_02911_mRNA,PMM0286,33860844,,,
PMED4_02921_mRNA,PMM0287,33860845,,,
chlD_mRNA,PMM0288,33860846,,,
chlD_pro,PMM0288,33860846,,,
PMED4_02941_mRNA,PMM0289,33860847,,,
PMED4_02941_pro,PMM0289,33860847,,,
PMED4_02951_mRNA,PMM0290,33860848,,,
PMED4_02961_mRNA,PMM0291,33860849,,,
ndhJ_mRNA,PMM0292,33860850,,,
ndhJ_pro,PMM0292,33860850,,,
ndhK_mRNA,PMM0293,33860851,,,
ndhK_pro,PMM0293,33860851,,,
PMED4_02991_mRNA,PMM0294,33860852,,,
rub_mRNA,PMM0295,33860853,,,
rub_pro,PMM0295,33860853,,,
PMED4_03011_mRNA,PMM0296,33860854,,,
PMED4_03011_pro,PMM0296,33860854,,,
psbE_mRNA,PMM0297,33860855,,,
psbE_pro,PMM0297,33860855,,,
PMED4_03031_mRNA,PMM0298,33860856,,,
psbL_mRNA,PMM0299,33860857,,,
psbL_pro,PMM0299,33860857,,,
psbJ_mRNA,PMM0300,33860858,,,
psbJ_pro,PMM0300,33860858,,,
PMED4_03061_mRNA,PMM0301,33860859,,,
PMED4_03061_pro,PMM0301,33860859,,,
PMED4_03071_mRNA,PMM0302,33860860,,,
PMED4_03081_mRNA,PMM0303,33860861,,,
PMED4_03091_mRNA,PMM0304,33860862,,,
PMED4_03111_mRNA,PMM0305,33860863,,,
PMED4_03121_mRNA,PMM0306,33860864,,,
PMED4_03131_mRNA,PMM0307,33860865,,,
PMED4_03141_mRNA,PMM0308,33860866,,,
PMED4_03151_mRNA,PMM0309,33860867,,,
PMED4_03161_mRNA,PMM0310,33860868,,,
metK_mRNA,PMM0311,33860869,,,
metK_pro,PMM0311,33860869,,,
"rps1a, rpsA1_mRNA",PMM0312,33860870,,,
"rps1a, rpsA1_pro",PMM0312,33860870,,,
PMED4_03191_mRNA,PMM0313,33860871,,,
PMED4_03201_mRNA,PMM0314,33860872,,,
psbB_mRNA,PMM0315,33860873,,,
psbB_pro,PMM0315,33860873,,,
PMED4_03221_mRNA,PMM0316,33860874,,,
PMED4_03231_mRNA,PMM0317,33860875,,,
PMED4_03241_mRNA,PMM0318,33860876,,,
sua5_mRNA,PMM0319,33860877,,,
sua5_pro,PMM0319,33860877,,,
minE_mRNA,PMM0320,33860878,,,
minE_pro,PMM0320,33860878,,,
minD_mRNA,PMM0321,33860879,,,
minD_pro,PMM0321,33860879,,,
PMED4_03291_mRNA,PMM0322,33860880,,,
PMED4_03301_mRNA,PMM0323,33860881,,,
ctpA_mRNA,PMM0324,33860882,,,
ctpA_pro,PMM0324,33860882,,,
petB_mRNA,PMM0325,33860883,,,
petB_pro,PMM0325,33860883,,,
PMED4_03331_mRNA,PMM0326,33860884,,,
PMED4_03341_mRNA,PMM0327,33860885,,,
PMED4_03341_pro,PMM0327,33860885,,,
PMED4_03351_mRNA,PMM0328,33860886,,,
psaE_mRNA,PMM0329,33860887,,,
psaE_pro,PMM0329,33860887,,,
PMED4_03371_mRNA,PMM0330,33860888,,,
PMED4_03371_pro,PMM0330,33860888,,,
PMED4_03381_mRNA,PMM0331,33860889,,,
PMED4_03391_mRNA,PMM0332,33860890,,,
PMED4_03401_mRNA,PMM0333,33860891,,,
PMED4_03411_mRNA,PMM0334,33860892,,,
PMED4_03451_mRNA,PMM0335,33860893,,,
PMED4_03461_mRNA,PMM0336,33860894,,,
PMED4_03481_mRNA,PMM0337,33860895,,,
PMED4_03501_mRNA,PMM0338,33860896,,,
PMED4_03501_pro,PMM0338,33860896,,,
PMED4_03521_mRNA,PMM0339,33860897,,,
PMED4_03541_mRNA,PMM0340,33860898,,,
PMED4_03551_mRNA,PMM0341,33860899,,,
PMED4_03561_mRNA,PMM0342,33860900,,,
PMED4_03581_mRNA,PMM0343,33860901,,,
PMED4_03601_mRNA,PMM0344,33860902,,,
PMED4_03621_mRNA,PMM0345,33860903,,,
PMED4_03631_mRNA,PMM0346,33860904,,,
PMED4_03641_mRNA,PMM0347,33860905,,,
PMED4_03661_mRNA,PMM0348,33860906,,,
PMED4_03671_mRNA,PMM0349,33860907,,,
PMED4_03681_mRNA,PMM0350,33860908,,,
PMED4_03701_mRNA,PMM0351,33860909,,,
PMED4_03711_mRNA,PMM0352,33860910,,,
PMED4_03721_mRNA,PMM0353,33860911,,,
PMED4_03731_mRNA,PMM0354,33860912,,,
PMED4_03761_mRNA,PMM0355,33860913,,,
PMED4_03791_mRNA,PMM0356,33860914,,,
PMED4_03811_mRNA,PMM0357,33860915,,,
PMED4_03811_pro,PMM0357,33860915,,,
PMED4_03821_mRNA,PMM0358,33860916,,,
PMED4_03831_mRNA,PMM0359,33860917,,,
PMED4_03851_mRNA,PMM0360,33860918,,,
PMED4_03861_mRNA,PMM0361,33860919,,,
PMED4_03871_mRNA,PMM0362,33860920,,,
PMED4_03881_mRNA,PMM0363,33860921,,,
PMED4_03911_mRNA,PMM0364,33860922,,,
PMED4_03911_pro,PMM0364,33860922,,,
PMED4_03921_mRNA,PMM0365,33860923,,,
PMED4_03931_mRNA,PMM0366,33860924,,,
PMED4_03941_mRNA,PMM0367,33860925,,,
PMED4_03941_pro,PMM0367,33860925,,,
PMED4_03951_mRNA,PMM0368,33860926,,,
PMED4_04021_mRNA,PMM0369,33860927,,,
PMED4_04031_mRNA,PMM0370,33860928,,,
PMED4_04031_pro,PMM0370,33860928,,,
PMED4_04041_mRNA,PMM0371,33860929,,,
PMED4_04051_mRNA,PMM0372,33860930,,,
cynS_mRNA,PMM0373,33860931,,,
cynS_pro,PMM0373,33860931,,,
PMED4_04071_mRNA,PMM0374,33860932,,,
PMED4_04081_mRNA,PMM0375,33860933,,,
PMED4_04091_mRNA,PMM0376,33860934,,,
PMED4_04101_mRNA,PMM0377,33860935,,,
PMED4_04111_mRNA,PMM0378,33860936,,,
PMED4_04111_pro,PMM0378,33860936,,,
PMED4_04161_mRNA,PMM0379,33860937,,,
PMED4_04171_mRNA,PMM0380,33860938,,,
PMED4_04191_mRNA,PMM0381,33860939,,,
PMED4_04201_mRNA,PMM0382,33860940,,,
PMED4_04221_mRNA,PMM0383,33860941,,,
spnII-interrupted-C_mRNA,PMM0384,33860942,,,
spnII-interrupted-C_pro,PMM0384,33860942,,,
PMED4_04251_mRNA,PMM0386,33860943,,,
PMED4_04281_mRNA,PMM0387,33860944,,,
PMED4_04291_mRNA,PMM0388,33860945,,,
PMED4_04301_mRNA,PMM0389,33860946,,,
PMED4_04311_mRNA,PMM0390,33860947,,,
PMED4_04321_mRNA,PMM0391,33860948,,,
PMED4_04331_mRNA,PMM0392,33860949,,,
PMED4_04341_mRNA,PMM0393,33860950,,,
PMED4_04351_mRNA,PMM0394,33860951,,,
PMED4_04361_mRNA,PMM0395,33860952,,,
PMED4_04371_mRNA,PMM0396,33860953,,,
PMED4_04381_mRNA,PMM0397,33860954,,,
PMED4_04391_mRNA,PMM0398,33860955,,,
PMED4_04401_mRNA,PMM0399,33860956,,,
lrtA_mRNA,PMM0400,33860957,,,
lrtA_pro,PMM0400,33860957,,,
PMED4_04421_mRNA,PMM0401,33860958,,,
PMED4_04431_mRNA,PMM0402,33860959,,,
PMED4_04441_mRNA,PMM0403,33860960,,,
PMED4_04441_pro,PMM0403,33860960,,,
PMED4_04451_mRNA,PMM0404,33860961,,,
pdhC_mRNA,PMM0405,33860962,,,
pdhC_pro,PMM0405,33860962,,,
PMED4_04491_mRNA,PMM0406,33860963,,,
cysK1_mRNA,PMM0407,33860964,,,
cysK1_pro,PMM0407,33860964,,,
PMED4_04511_mRNA,PMM0408,33860965,,,
PMED4_04521_mRNA,PMM0409,33860966,,,
rpsD_mRNA,PMM0410,33860967,,,
rpsD_pro,PMM0410,33860967,,,
PMED4_04541_mRNA,PMM0411,33860968,,,
PMED4_04551_mRNA,PMM0412,33860969,,,
PMED4_04561_mRNA,PMM0413,33860970,,,
PMED4_04571_mRNA,PMM0414,33860971,,,
PMED4_04581_mRNA,PMM0415,33860972,,,
PMED4_04591_mRNA,PMM0416,33860973,,,
PMED4_04611_mRNA,PMM0417,33860974,,,
PMED4_04621_mRNA,PMM0418,33860975,,,
PMED4_04631_mRNA,PMM0419,161347554,,,
lepA_mRNA,PMM0420,33860977,,,
lepA_pro,PMM0420,33860977,,,
PMED4_04651_mRNA,PMM0421,33860978,,,
PMED4_04661_mRNA,PMM0422,33860979,,,
PMED4_04681_mRNA,PMM0423,33860980,,,
PMED4_04691_mRNA,PMM0424,33860981,,,
PMED4_04701_mRNA,PMM0425,33860982,,,
PMED4_04731_mRNA,PMM0426,33860983,,,
PMED4_04741_mRNA,PMM0427,33860984,,,
PMED4_04751_mRNA,PMM0428,33860985,,,
PMED4_04761_mRNA,PMM0429,33860986,,,
hisF_mRNA,PMM0430,33860987,,,
hisF_pro,PMM0430,33860987,,,
PMED4_04781_mRNA,PMM0431,33860988,,,
PMED4_04791_mRNA,PMM0432,33860989,,,
PMED4_04801_mRNA,PMM0433,33860990,,,
PMED4_04811_mRNA,PMM0434,33860991,,,
ndhB_mRNA,PMM0435,33860992,,,
ndhB_pro,PMM0435,33860992,,,
topA_mRNA,PMM0436,33860993,,,
topA_pro,PMM0436,33860993,,,
PMED4_04841_mRNA,PMM0437,33860994,,,
PMED4_04851_mRNA,PMM0438,33860995,,,
PMED4_04861_mRNA,PMM0439,33860996,,,
PMED4_04871_mRNA,PMM0440,33860997,,,
PMED4_04881_mRNA,PMM0441,33860998,,,
PMED4_04891_mRNA,PMM0442,33860999,,,
